rdfs:Class,uri,skos:definition,dcterms:source,csvw:table
CollectionAgentRole,http://rs.tdwg.org/dwc/dwc-dp/collection-agent-role,A role filled by an Agent with respect to a Collection.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection-agent-role.json,collection-agent-role
CollectionAssertion,http://rs.tdwg.org/dwc/dwc-dp/collection-assertion,An Assertion made by an Agent about a Collection.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection-assertion.json,collection-assertion
CollectionMedia,http://rs.tdwg.org/dwc/dwc-dp/collection-media,A link establishing a Collection as content of a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection-media.json,collection-media
Collection,http://rs.tdwg.org/dwc/dwc-dp/collection,A persistent formal repository in which dwc:MaterialEntities and/or Media are preserved.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection.json,collection
EventAgentRole,http://rs.tdwg.org/dwc/dwc-dp/event-agent-role,A role filled by an Agent with respect to a dwc:Event.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-agent-role.json,event-agent-role
EventAssertion,http://rs.tdwg.org/dwc/dwc-dp/event-assertion,An Assertion made by an Agent about a dwc:Event.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-assertion.json,event-assertion
EventIdentifier,http://rs.tdwg.org/dwc/dwc-dp/event-identifier,An identifier for a dwc:Event.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-identifier.json,event-identifier
EventMedia,http://rs.tdwg.org/dwc/dwc-dp/event-media,A link establishing a dwc:Event as content of a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-media.json,event-media
EventProtocol,http://rs.tdwg.org/dwc/dwc-dp/event-protocol,A link establishing a Protocol used in a dwc:Event.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-protocol.json,event-protocol
EventReference,http://rs.tdwg.org/dwc/dwc-dp/event-reference,A bibliographic reference in which a dwc:Event is mentioned.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-reference.json,event-reference
Event,http://rs.tdwg.org/dwc/dwc-dp/event,"An action, process, or set of circumstances occurring at a dcterms:Location during a period of time.",https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event.json,event
GeologicalContextMedia,http://rs.tdwg.org/dwc/dwc-dp/geological-context-media,A link establishing a dwc:GeologicalContext as content of a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/geological-context-media.json,geological-context-media
GeologicalContext,http://rs.tdwg.org/dwc/dwc-dp/geological-context,"A set of geological designations, such as stratigraphy, that qualifies a dwc:Event.",https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/geological-context.json,geological-context
IdentificationAgentRole,http://rs.tdwg.org/dwc/dwc-dp/identification-agent-role,A role filled by an Agent with respect to a dwc:Identification.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/identification-agent-role.json,identification-agent-role
IdentificationTaxon,http://rs.tdwg.org/dwc/dwc-dp/identification-taxon,A construct of components and positions of dwc:scientificNames in a dwc:Identification.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/identification-taxon.json,identification-taxon
Identification,http://rs.tdwg.org/dwc/dwc-dp/identification,"A taxonomic determination (i.e., the assignment of dwc:Taxa to dwc:Organisms).",https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/identification.json,identification
MaterialAgentRole,http://rs.tdwg.org/dwc/dwc-dp/material-agent-role,A role filled by an Agent with respect to a dwc:MaterialEntity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-agent-role.json,material-agent-role
MaterialAssertion,http://rs.tdwg.org/dwc/dwc-dp/material-assertion,An Assertion made by an Agent about a dwc:MaterialEntity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-assertion.json,material-assertion
MaterialIdentifier,http://rs.tdwg.org/dwc/dwc-dp/material-identifier,An identifier for a dwc:MaterialEntity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-identifier.json,material-identifier
MaterialMedia,http://rs.tdwg.org/dwc/dwc-dp/material-media,A link establishing a dwc:MaterialEntity as content of a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-media.json,material-media
MaterialProtocol,http://rs.tdwg.org/dwc/dwc-dp/material-protocol,A link establishing a Protocol used in the treatment of a dwc:MaterialEntity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-protocol.json,material-protocol
MaterialReference,http://rs.tdwg.org/dwc/dwc-dp/material-reference,A bibliographic reference in which a dwc:MaterialEntity is mentioned.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material-reference.json,material-reference
Material,http://rs.tdwg.org/dwc/dwc-dp/material,"An entity that can be identified, exist for some period of time, and consist in whole or in part of physical matter while it exists.",https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/material.json,material
MediaAgentRole,http://rs.tdwg.org/dwc/dwc-dp/media-agent-role,A role filled by an Agent with respect to a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media-agent-role.json,media-agent-role
MediaAssertion,http://rs.tdwg.org/dwc/dwc-dp/media-assertion,An Assertion made by an Agent about a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media-assertion.json,media-assertion
MediaIdentifier,http://rs.tdwg.org/dwc/dwc-dp/media-identifier,An identifier for a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media-identifier.json,media-identifier
Media,http://rs.tdwg.org/dwc/dwc-dp/media,"A dcmi:MediaType (dcmi:Sounds, dcmi:StillImages, dcmi:MovingImages or dcmi:Text) with other entities as content.",https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/media.json,media
MolecularProtocolAgentRole,http://rs.tdwg.org/dwc/dwc-dp/molecular-protocol-agent-role,A role filled by an Agent with respect to a MolecularProtocol.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/molecular-protocol-agent-role.json,molecular-protocol-agent-role
MolecularProtocolAssertion,http://rs.tdwg.org/dwc/dwc-dp/molecular-protocol-assertion,An Assertion made by an Agent about a MolecularProtocol.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/molecular-protocol-assertion.json,molecular-protocol-assertion
MolecularProtocolReference,http://rs.tdwg.org/dwc/dwc-dp/molecular-protocol-reference,A bibliographic reference in which a MolecularProtocol is mentioned.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/molecular-protocol-reference.json,molecular-protocol-reference
MolecularProtocol,http://rs.tdwg.org/dwc/dwc-dp/molecular-protocol,A protocol used to derive and identify a nucleotide sequence from a dwc:MaterialEntity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/molecular-protocol.json,molecular-protocol
NucleotideAnalysisAssertion,http://rs.tdwg.org/dwc/dwc-dp/nucleotide-analysis-assertion,An Assertion made by an Agent about a NucleotideAnalysis.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/nucleotide-analysis-assertion.json,nucleotide-analysis-assertion
NucleotideAnalysis,http://rs.tdwg.org/dwc/dwc-dp/nucleotide-analysis,"A link between a NucleotideSequence and a dwc:Event and a dwc:MaterialEntity from which it was derived, using a specified Protocol.",https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/nucleotide-analysis.json,nucleotide-analysis
NucleotideSequence,http://rs.tdwg.org/dwc/dwc-dp/nucleotide-sequence,A digital representation of a nucleotide sequence.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/nucleotide-sequence.json,nucleotide-sequence
OccurrenceAgentRole,http://rs.tdwg.org/dwc/dwc-dp/occurrence-agent-role,A role filled by an Agent with respect to a dwc:Occurrence.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-agent-role.json,occurrence-agent-role
OccurrenceAssertion,http://rs.tdwg.org/dwc/dwc-dp/occurrence-assertion,An Assertion made by an Agent about a dwc:Occurrence.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-assertion.json,occurrence-assertion
OccurrenceIdentifier,http://rs.tdwg.org/dwc/dwc-dp/occurrence-identifier,An identifier for a dwc:Occurrence.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-identifier.json,occurrence-identifier
OccurrenceMedia,http://rs.tdwg.org/dwc/dwc-dp/occurrence-media,A link establishing a dwc:Occurrence as content of a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-media.json,occurrence-media
OccurrenceProtocol,http://rs.tdwg.org/dwc/dwc-dp/occurrence-protocol,A link establishing a Protocol used in the determination of a dwc:Occurrence.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-protocol.json,occurrence-protocol
OccurrenceReference,http://rs.tdwg.org/dwc/dwc-dp/occurrence-reference,A bibliographic reference in which a dwc:Occurrence is mentioned.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence-reference.json,occurrence-reference
Occurrence,http://rs.tdwg.org/dwc/dwc-dp/occurrence,A state of a dwc:Organism in a dwc:Event.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/occurrence.json,occurrence
OrganismInteractionAgentRole,http://rs.tdwg.org/dwc/dwc-dp/organism-interaction-agent-role,A role filled by an Agent with respect to an OrganismInteraction.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-agent-role.json,organism-interaction-agent-role
OrganismInteractionAssertion,http://rs.tdwg.org/dwc/dwc-dp/organism-interaction-assertion,An Assertion made by an Agent about an OrganismInteraction.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-assertion.json,organism-interaction-assertion
OrganismInteractionMedia,http://rs.tdwg.org/dwc/dwc-dp/organism-interaction-media,A link establishing an OrganismInteraction as content of a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-media.json,organism-interaction-media
OrganismInteractionReference,http://rs.tdwg.org/dwc/dwc-dp/organism-interaction-reference,A bibliographic reference in which an OrganismInteraction is mentioned.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction-reference.json,organism-interaction-reference
OrganismInteraction,http://rs.tdwg.org/dwc/dwc-dp/organism-interaction,An interaction between two dwc:Organisms during a dwc:Event.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/organism-interaction.json,organism-interaction
PhylogeneticTreeAssertion,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-assertion,An Assertion made by an Agent about a PhylogeneticTree.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-assertion.json,phylogenetic-tree-assertion
PhylogeneticTreeIdentifier,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-identifier,An identifier for a PhylogeneticTree.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-identifier.json,phylogenetic-tree-identifier
PhylogeneticTreeMedia,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-media,A link establishing a PhylogeneticTree as content of a Media entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-media.json,phylogenetic-tree-media
PhylogeneticTreeProtocol,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-protocol,A link establishing a Protocol used in the determination of a PhylogeneticTree.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-protocol.json,phylogenetic-tree-protocol
PhylogeneticTreeReference,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-reference,A bibliographic reference in which a PhylogeneticTree is mentioned.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-reference.json,phylogenetic-tree-reference
PhylogeneticTreeTipAssertion,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-tip-assertion,An Assertion made by an Agent about a PhylogeneticTreeTip.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-tip-assertion.json,phylogenetic-tree-tip-assertion
PhylogeneticTreeTip,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree-tip,A group of Taxa at the end of a branch of a PhylogeneticTree as determined from relationships between dwc:Organisms.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree-tip.json,phylogenetic-tree-tip
PhylogeneticTree,http://rs.tdwg.org/dwc/dwc-dp/phylogenetic-tree,A branching diagram that shows the evolutionary relationships between dwc:Organisms.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/phylogenetic-tree.json,phylogenetic-tree
ProtocolReference,http://rs.tdwg.org/dwc/dwc-dp/protocol-reference,A bibliographic reference in which a Protocol is mentioned.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/protocol-reference.json,protocol-reference
Protocol,http://rs.tdwg.org/dwc/dwc-dp/protocol,A method used during an action.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/protocol.json,protocol
Reference,http://rs.tdwg.org/dwc/dwc-dp/reference,A bibliographic reference in which an entity is mentioned.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/reference.json,reference
Relationship,http://rs.tdwg.org/dwc/dwc-dp/relationship,A specification for a relationship of a subject entity to a related entity.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/relationship.json,relationship
SurveyAgentRole,http://rs.tdwg.org/dwc/dwc-dp/survey-agent-role,A role filled by an Agent with respect to a Survey.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-agent-role.json,survey-agent-role
SurveyAssertion,http://rs.tdwg.org/dwc/dwc-dp/survey-assertion,An Assertion made by an Agent about a Survey.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-assertion.json,survey-assertion
SurveyIdentifier,http://rs.tdwg.org/dwc/dwc-dp/survey-identifier,An identifier for a Survey.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-identifier.json,survey-identifier
SurveyProtocol,http://rs.tdwg.org/dwc/dwc-dp/survey-protocol,A link establishing a Protocol used in a Survey.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-protocol.json,survey-protocol
SurveyReference,http://rs.tdwg.org/dwc/dwc-dp/survey-reference,A bibliographic reference in which a Survey is mentioned.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-reference.json,survey-reference
SurveyTarget,http://rs.tdwg.org/dwc/dwc-dp/survey-target,A specification of a characteristic of dwc:Occurrence that was included or excluded in a Survey.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey-target.json,survey-target
Survey,http://rs.tdwg.org/dwc/dwc-dp/survey,A biotic survey.,https://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/survey.json,survey
